Diaz, Miller and Donovan|Argentina|3.05|True
Santiago-Martinez|Russia|22.7|True
Washington and Sons|USA|50.8|False
Montoya, Mcdonald and Johnson|Portugal|39.2|True
Fuller-Murphy|Croatia|40.3|False
Smith, Wagner and Sexton|South Africa|61.5|False
Bishop and Sons|China|52.2|True
Maldonado Ltd|South Africa|85.0|False
Watkins-Wallace|Italy|22.8|False
Fowler, Sharp and Howe|South Africa|55.8|True
Larsen Group|Germany|23.2|True
Miller Inc|New Zealand|95.3|False
Padilla and Sons|Argentina|61.9|True
Jones-Morris|Argentina|63.9|True
Salinas-Shaw|Brazil|44.1|False
Lewis, Kennedy and Yang|China|86.9|False
Nguyen PLC|Moldova|34.1|True
Bowman Inc|Greece|6.8|False
Smith-Rasmussen|Germany|4.0|False
Garcia, Warren and Fields|Russia|20.5|False
Armstrong Group|Romania|99.1|True
Mclean, Hicks and Medina|Brazil|68.0|True
Bautista Group|France|86.9|True
Haas-Powers|Chile|18.9|False
Lee LLC|South Africa|3.12|True
Macias-Simmons|France|26.8|True
Miller and Sons|South Africa|80.7|True
Miller-Foster|Croatia|84.1|True
Olson, Wright and Duncan|Brazil|59.4|True
Miller-Brooks|Austria|49.7|True
Bryant LLC|Portugal|62.6|False
Moore PLC|Moldova|73.4|True
Woods, Baker and Meyer|Austria|17.6|True
Hill, Soto and Ball|Bulgaria|91.2|True
Moore-Stokes|Chile|70.8|True
Vega, Collins and Perez|Austria|94.6|True
Harrington, Villanueva and Powers|Romania|84.7|True
Barnett, Richardson and Webb|Argentina|38.7|True
Stark-Gonzalez|Greece|83.5|False
Avery, Kline and Branch|South Africa|54.8|True
May-Price|Australia|10.4|True
Williams-Nunez|Romania|27.1|True
Bennett, Watkins and Lawson|Romania|74.5|True
Lopez-Daniels|Argentina|94.0|True
Crawford and Sons|Romania|93.7|False
Tran, Gonzales and Davis|Bulgaria|64.9|False
Lewis-Silva|Brazil|17.2|False
Taylor Ltd|New Zealand|82.6|True
Wright, Hawkins and Webb|South Africa|15.9|True
Thompson PLC|South Africa|86.6|True
Lara, Nielsen and Bush|France|69.0|False
Herman-Howard|Italy|71.6|True
Campos, Lindsey and Byrd|Brazil|45.6|True
Sanchez and Sons|France|37.3|True
Garza LLC|Hungary|30.1|False
Anderson-Acosta|Austria|22.3|False
Morrison, Ellis and Wallace|New Zealand|62.5|False
Ramirez Ltd|China|19.6|False
Lynch, Stanton and Lee|USA|81.6|True
Garrison Ltd|Germany|57.3|False
Burton-Holland|Greece|7.37|False
Williams-Walters|Romania|54.6|True
Conner Inc|South Africa|35.6|True
Murillo, Armstrong and Blair|China|93.4|False
Anderson, Rodriguez and Gentry|Italy|91.8|False
Molina Inc|China|8.9|True
Brady, Price and Sanders|Romania|71.0|True
Braun, Dennis and Johnson|Argentina|12.1|True
Grant, Ford and Murray|Spain|76.0|True
Riley-Lang|South Africa|8.94|True
Robinson, Stephens and Hartman|Hungary|97.4|True
Weaver-Conrad|France|64.3|True
Walker, Rodriguez and Lewis|Austria|19.7|True
Kennedy, Ford and Nguyen|Brazil|42.5|True
Gray-Olson|Bulgaria|80.0|False
Robinson-Baldwin|New Zealand|34.1|False
Cooke PLC|Portugal|74.9|False
Morrison LLC|Croatia|48.1|False
Phillips LLC|New Zealand|98.8|True
Chan Inc|Chile|82.3|True
Dunn, Smith and Welch|Hungary|34.6|True
Coffey Group|China|90.9|False
French Inc|France|74.7|False
Vargas Inc|China|11.9|False
Stone and Sons|France|83.4|False
Snyder-Patterson|Italy|19.3|True
Taylor Inc|Hungary|83.8|False
Martinez-Collier|New Zealand|57.4|False
Montgomery Inc|Germany|45.6|True
Noble LLC|Russia|63.3|True
Elliott-Chung|Russia|41.7|False
Salazar, Brock and Frazier|USA|23.8|False
Hudson, Ramos and Wright|Greece|6.0|True
Mcmillan Group|Spain|30.4|True
Jackson-Haas|Germany|11.4|True
Kim, Yates and Keller|Austria|7.07|False
Lopez-Morrow|Spain|59.7|True
Nichols and Sons|Moldova|10.3|True
Donaldson-Brown|Austria|45.9|False
Fowler Ltd|Hungary|9.93|False
Fischer-Johnson|USA|18.8|True
Carroll-Merritt|Chile|14.9|True
Jones, Brown and Floyd|Portugal|1.98|True
Moore, Cameron and Drake|Argentina|12.6|False
Rivers-Finley|Germany|51.6|True
Sanders PLC|Romania|30.1|False
Lee-Kim|Germany|36.2|True
Callahan and Sons|Italy|80.8|False
Perry and Sons|Chile|66.0|False
Keith and Sons|Italy|98.2|False
Bailey-Collins|China|11.3|True
Dominguez, Smith and West|Germany|64.0|True
Johnson, Kennedy and Richards|Argentina|75.2|False
Thomas, Holloway and Medina|Austria|18.1|True
Pierce PLC|Germany|42.5|False
Fernandez, Spencer and Riggs|Russia|75.0|False
Davis Inc|Russia|90.8|False
Gibson, Adams and Morrow|New Zealand|22.4|True
Hensley LLC|Portugal|95.8|True
Smith, Gilbert and Johnson|Russia|90.1|True
Phillips and Sons|Germany|62.0|False
Simon Group|South Africa|61.1|True
Morris-Blankenship|Argentina|83.2|True
Crawford-House|Moldova|6.79|True
Kim-Paul|USA|88.9|True
Carter-Clay|France|41.8|True
Mayer, Watson and Mcgee|Hungary|92.6|True
Byrd-Jones|Chile|20.0|False
Torres and Sons|Brazil|27.8|True
Freeman, Newman and Smith|Brazil|57.9|False
Swanson PLC|Austria|43.0|False
Freeman and Sons|Austria|5.95|True
Fox-Dougherty|Croatia|99.5|False
Hubbard-Ward|Austria|18.7|True
Knight PLC|Italy|63.1|False
Levy and Sons|Germany|3.24|False
Wheeler LLC|France|51.8|False
Tucker-Chen|Russia|53.9|True
Green Group|Chile|74.1|True
Anderson-Moreno|South Africa|29.0|True
Chavez Inc|France|19.5|False
Butler LLC|Germany|34.1|True
Holt Inc|China|21.3|False
Alvarado Ltd|Spain|17.9|False
Estrada-Scott|Argentina|1.25|False
Contreras PLC|Moldova|55.1|False
Coleman, Mcdaniel and Davis|South Africa|66.7|True
Bennett, Ellis and Collins|Hungary|11.9|True
Rowland Ltd|Portugal|64.9|False
Lewis Group|Croatia|89.7|True
Anderson Group|Croatia|73.0|True
Herrera LLC|Moldova|46.7|True
Gibbs, Obrien and Martin|Spain|52.7|True
Murray, Griffin and Cook|Australia|31.5|True
Hatfield, Craig and Cooke|Austria|12.5|False
Phillips, Alvarez and King|China|68.9|True
Garrett PLC|Italy|17.6|True
Nguyen-Chen|Italy|12.6|True
Adams, Alexander and Hernandez|Germany|71.4|False
Martin-Lindsey|USA|51.8|False
Chapman, Cohen and Diaz|Romania|63.6|False
Banks, Collins and Allen|Chile|33.2|True
Brown-Peck|China|73.8|False
Anthony-Duncan|Bulgaria|30.1|False
Martinez-Adkins|China|77.9|False
Nelson, Alexander and Russo|China|16.7|False
Marquez LLC|South Africa|17.9|False
Butler, Howe and Norton|China|96.2|True
Bennett and Sons|Bulgaria|43.9|True
Skinner, Thomas and Sellers|Russia|8.59|False
Vaughn, Smith and Moore|New Zealand|34.5|False
Brown, Stewart and Rose|Romania|56.5|True
Villa Ltd|France|85.1|False
Berry-Martin|Italy|59.7|True
Davis-Hatfield|Romania|4.68|False
Bass, Cobb and Brown|Croatia|59.4|False
Johns Group|France|81.1|False
Smith-Horton|France|18.9|True
Weiss Ltd|New Zealand|43.7|False
Jimenez-Mclean|Hungary|33.4|False
Burke, Harris and White|Hungary|44.8|False
Fuller-Johnson|Moldova|74.3|False
Perez-Kaiser|USA|32.8|True
Blankenship-Hayes|Greece|9.98|False
Edwards, Lee and Adams|Austria|27.2|True
Fisher, Santiago and Morris|Moldova|7.56|False
Moore, Thompson and Knight|Italy|62.2|True
Lloyd, Collins and Wiley|Austria|58.0|True
Bradford Ltd|Chile|72.9|True
Anderson, Oliver and Rivera|Argentina|67.2|True
Fisher Group|Australia|50.6|True
Newman, Welch and Boyle|Spain|16.7|True
Harrison LLC|Australia|77.7|True
Conley PLC|Greece|70.0|True
Cruz-Hopkins|Italy|54.8|False
Hunter Inc|Austria|73.4|True
Shaffer, Hill and Madden|Romania|51.9|False
Jones Inc|Argentina|27.2|True
Cooper, Pruitt and Salinas|Greece|62.6|True
Adams, Mendoza and Fuentes|Bulgaria|31.6|False
Beasley, Martin and Moore|Croatia|5.72|True
Fuller Inc|USA|78.0|True
Fisher-Haynes|Italy|48.3|True
Reynolds LLC|Spain|48.4|False
Wilcox, Santana and Rivers|Greece|57.4|False
Hall Group|China|39.2|False
Weaver-Kim|Germany|62.3|True
Lucas, Harris and Banks|Germany|86.0|True
Watson, Clark and Johnson|Spain|32.9|True
Wood Inc|Greece|60.2|False
Dougherty PLC|USA|66.8|False
Nichols, Gomez and Shah|Spain|53.1|False
Simpson PLC|South Africa|30.6|False
Whitney, Mcbride and Anderson|Hungary|19.0|True
Miller-Frederick|Chile|95.6|False
Shaw, Howell and Anderson|Chile|69.9|False
Russo PLC|Bulgaria|65.1|True
Watkins, Roy and Lopez|Australia|63.3|False
Dunlap-Stafford|USA|31.0|True
Gomez-Reed|Spain|77.2|True
Sandoval-Myers|Germany|62.5|True
Cherry-Haas|Bulgaria|66.8|False
Jensen-Calderon|Romania|8.02|False
Mccoy PLC|Moldova|54.1|True
Henderson LLC|Spain|63.3|False
Rivers-Collins|Australia|37.6|True
Watson, Oliver and Blanchard|South Africa|38.3|False
Green-Perez|Chile|33.2|True
Lamb, Finley and Taylor|Australia|90.4|False
Lopez and Sons|France|47.5|True
Roach, Perry and Keller|South Africa|98.7|True
Young-Carroll|New Zealand|21.7|False
Cooper-Jennings|New Zealand|79.4|False
Romero-Robles|South Africa|94.9|True
Cook-Garcia|Hungary|25.2|False
Boyd LLC|China|46.5|False
Brown LLC|Russia|95.2|True
Pearson and Sons|Romania|98.7|True
Bass-Joyce|Portugal|8.41|True
Jones Group|Hungary|65.6|True
Potter, Burnett and Diaz|China|1.03|False
Murphy, Trevino and Bryant|Brazil|8.69|True
Macias, Wilkinson and Allen|Brazil|81.7|False
James and Sons|South Africa|55.6|False
Olson-Richardson|China|51.8|True
Kirby PLC|France|99.8|False
Wall-Lowery|Germany|97.6|False
Rodriguez, Allen and Johnson|Australia|45.6|False
Walters Ltd|Brazil|20.9|True
Jenkins, Everett and Moreno|Germany|31.6|False
Davis, Davis and Turner|Chile|11.9|False
Potter, Nguyen and Lee|Russia|19.4|False
Miles-Mcdaniel|Hungary|79.3|True
York LLC|Spain|16.4|True
Johnson-Robbins|Romania|33.9|True
Marshall-Jordan|Bulgaria|15.3|True
Walker, Mclaughlin and Briggs|Greece|28.9|True
Torres-Johnson|China|6.15|True
Jenkins, Tucker and Vasquez|Moldova|52.8|True
Nelson-Reeves|Romania|35.9|False
Mendoza, Tucker and Brown|Greece|14.1|True
Robertson, Welch and Jones|South Africa|30.9|True
Thompson, Ortiz and Butler|Greece|14.0|True
Holmes, West and Gillespie|Russia|9.71|False
Perez LLC|Russia|19.9|False
Johnston Group|Austria|30.4|False
Kennedy-Cook|USA|23.9|True
Dixon PLC|New Zealand|46.9|False
Clayton, Mendez and Hahn|South Africa|30.8|True
Villarreal, Figueroa and Mcpherson|Italy|57.3|True
Cruz, Chapman and Owens|Russia|75.2|False
Soto, Thomas and Miller|Italy|35.1|True
Scott LLC|Bulgaria|46.8|True
Gates-Gomez|Australia|3.9|True
Phillips, Turner and Moore|China|68.8|False
Butler, Bates and Mccann|USA|62.1|True
Robinson, Burns and Alexander|Greece|92.8|True
James Group|France|38.9|False
Flores-Fox|Romania|9.03|True
Rodriguez, Ramirez and Harrison|Romania|62.3|True
Tate, Taylor and Ferguson|Brazil|45.9|True
Patrick-Hammond|New Zealand|21.7|False
Davis, Richardson and Barton|Argentina|96.6|True
Jones, Allen and Baker|Germany|43.0|False
Mcintosh, Anderson and Nguyen|Austria|80.2|True
Nielsen Group|Argentina|8.06|False
Allen-King|Romania|95.3|True
Ryan Inc|Germany|65.2|True
Sanchez, Johnson and Austin|Argentina|95.6|True
Lee, Perry and Williams|China|61.1|False
Montgomery, Rose and Ramirez|Russia|39.4|False
Sanchez LLC|Russia|5.13|False
Morrow and Sons|Portugal|59.3|False
Hernandez-Sherman|Argentina|15.3|True
Chandler-Nelson|Spain|73.5|False
Blair, Mendez and Gonzalez|South Africa|16.8|True
Castaneda, Harris and King|Romania|65.4|True
Castro-Lewis|Spain|58.5|True
Jenkins-Brown|Greece|85.7|True
Booker Inc|Brazil|67.2|True
Gordon, Doyle and Johnson|Romania|18.2|True
Bailey, Holloway and Crane|Greece|90.7|False
Collins-Richardson|Romania|14.0|False
Williams and Sons|Greece|38.8|True
Becker, Edwards and Morris|Bulgaria|63.3|False
Glover LLC|Hungary|25.5|True
Brooks-Joseph|Austria|17.1|True
Nelson-Castillo|Spain|45.4|False
Poole-Walls|Russia|43.2|True
Potts Group|Greece|33.3|False
White, Tyler and Hurst|Austria|94.9|False
Owens-Foster|New Zealand|38.5|True
Walsh-Gilmore|Spain|62.0|False
Dunn, Lewis and Ali|Hungary|32.3|False
Wilson LLC|Russia|38.6|False
Cook-Smith|Croatia|55.4|True
Williams Inc|Russia|2.12|False
Cunningham-Sherman|New Zealand|74.8|True
Garcia, Holt and King|Argentina|30.2|True
Clarke-Ortiz|USA|81.0|True
Alexander Group|USA|56.0|False
Warner-Phillips|Hungary|87.2|False
Jordan-Clay|Germany|69.4|False
Conrad and Sons|Moldova|71.2|False
Lee Inc|Spain|18.5|True
Floyd Group|Croatia|41.2|True
Smith-Williams|Hungary|35.9|True
Cortez-Alvarez|Bulgaria|95.8|True
Johnson Inc|New Zealand|43.7|True
Henry PLC|New Zealand|80.5|False
Smith-Mcclure|China|26.3|False
Murray-Howard|Germany|22.0|True
Rodgers Inc|Moldova|14.6|True
Greene Inc|Russia|24.9|False
Murillo, Andrews and Roberts|France|49.5|False
Hood and Sons|Bulgaria|47.9|True
Terry, Chapman and Townsend|Brazil|2.87|False
Smith-Scott|Germany|88.3|True
Williams, Harvey and Poole|Argentina|69.9|False
Martin Inc|Russia|72.4|True
Murray, Odonnell and Williams|Russia|19.0|False
English, Kirk and Ali|Greece|1.15|True
Jones, Brock and Lewis|Spain|48.9|False
Nguyen-Washington|Bulgaria|3.0|False
Tucker-Taylor|USA|83.9|False
Chase Inc|Spain|35.9|False
Hubbard, Doyle and Smith|Portugal|16.8|False
Dunn Group|Moldova|10.0|True
Vance, Hoffman and Flowers|Hungary|46.1|False
Proctor, Perez and Chapman|South Africa|88.7|True
Berg-Taylor|Chile|32.6|False
Cole, Wilson and Glover|Brazil|28.2|True
Hunt, Brown and Jones|China|4.41|False
Scott, Mcbride and Bryant|Russia|90.5|True
Young Group|Bulgaria|84.6|False
Miller-Smith|USA|69.2|False
West-Miranda|New Zealand|41.9|False
Weaver-Andrews|Bulgaria|53.0|True
Robinson PLC|Spain|67.7|True
Christensen, Powell and Fox|New Zealand|40.4|False
Whitaker, Nguyen and Rowland|Italy|22.7|False
Burton Inc|Brazil|14.3|False
Tate, Chambers and Adams|Croatia|22.5|True
Rivera-Tran|South Africa|73.6|False
